steps,wild_mean,mutant_mean,total_count
838,135.034,38.779,173.813
839,134.49,39.019,173.509
840,134.856,38.992,173.848
841,134.925,39.098,174.023
842,135.094,39.083,174.177
843,134.885,39.226,174.111
844,134.584,39.06,173.644
845,135.095,38.955,174.05
846,134.824,38.761,173.585
847,134.999,38.708,173.707
848,134.893,38.681,173.574
849,135.364,38.75,174.114
850,134.791,38.788,173.579
851,134.043,38.992,173.035
852,133.893,38.789,172.682
853,134.545,38.863,173.408
854,134.564,38.814,173.378
855,134.522,38.905,173.427
856,134.763,38.871,173.634
857,134.893,38.719,173.612
858,135.244,38.96,174.204
859,134.691,38.744,173.435
860,134.695,38.795,173.49
861,134.457,39.025,173.482
862,134.94,39.059,173.999
863,134.343,39.514,173.857
864,134.243,39.559,173.802
865,134.484,39.779,174.263
866,134.335,39.812,174.147
867,133.994,39.694,173.688
868,134.018,39.66,173.678
869,134.176,40.153,174.329
870,134.613,39.784,174.397
871,134.58,40.007,174.587
872,134.552,40.053,174.605
873,134.136,39.907,174.043
874,133.773,40.047,173.82
875,133.948,40.259,174.207
876,134.361,40.166,174.527
877,134.144,39.982,174.126
878,133.813,40.013,173.826
879,133.464,40.292,173.756
880,133.802,40.386,174.188
881,134.06,40.479,174.539
882,133.887,40.076,173.963
883,133.645,40.084,173.729
884,133.747,40.026,173.773
885,133.615,39.929,173.544
886,134.076,39.957,174.033
887,134.016,40.115,174.131
888,134.014,40.044,174.058
889,134.079,40.138,174.217
890,133.767,39.864,173.631
891,133.636,40.454,174.09
892,133.92,39.896,173.816
893,133.987,39.823,173.81
894,133.98,39.935,173.915
895,133.79,39.94,173.73
896,133.815,40.297,174.112
897,133.513,40.657,174.17
898,133.443,40.456,173.899
899,133.067,40.404,173.471
900,133.527,39.968,173.495
901,133.676,40.239,173.915
902,133.344,40.293,173.637
903,132.532,40.507,173.039
904,132.638,40.571,173.209
905,132.792,40.517,173.309
906,132.775,40.576,173.351
907,133.208,40.698,173.906
908,133.674,40.615,174.289
909,133.052,40.655,173.707
910,133.547,40.829,174.376
911,133.869,40.889,174.758
912,134.077,41.015,175.092
913,133.637,40.721,174.358
914,133.243,40.708,173.951
915,133.582,40.703,174.285
916,133.435,40.771,174.206
917,133.378,40.741,174.119
918,133.296,41.073,174.369
919,133.79,41.205,174.995
920,133.523,40.686,174.209
921,133.469,40.939,174.408
922,133.176,40.854,174.03
923,132.726,40.785,173.511
924,133.575,40.86,174.435
925,133.361,40.482,173.843
926,133.483,40.421,173.904
927,133.854,40.43,174.284
928,133.504,40.182,173.686
929,133.644,40.329,173.973
930,133.591,40.353,173.944
931,134.078,40.415,174.493
932,134.233,39.815,174.048
933,134.077,39.97,174.047
934,133.732,40.012,173.744
935,134.226,39.888,174.114
936,133.933,39.932,173.865
937,133.644,40.133,173.777
938,133.872,40.449,174.321
939,133.812,40.368,174.18
940,133.869,40.379,174.248
941,133.464,40.181,173.645
942,133.488,40.11,173.598
943,133.596,40.229,173.825
944,133.467,40.173,173.64
945,133.59,40.214,173.804
946,133.872,40.019,173.891
947,133.821,40.309,174.13
948,133.53,40.542,174.072
949,133.713,40.617,174.33
950,133.433,40.459,173.892
951,133.544,40.526,174.07
952,133.229,40.831,174.06
953,133.808,40.709,174.517
954,133.421,40.728,174.149
955,133.813,40.607,174.42
956,133.367,40.392,173.759
957,132.813,40.373,173.186
958,133.324,40.372,173.696
959,133.376,40.76,174.136
960,133.16,40.695,173.855
